Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,1.905524049,1.899252681,1.85802653,1.746536801,1.661191643,1.517975111,1.210589941,1.051117194,0.887833017,0.880093476,1.141551337,1.218938691,1.243571246,1.267157297,1.245960208,1.191061127
Population growth (annual %),SP.POP.GROW,Belgium,BEL,0.242517956,0.343951158,0.448268895,0.418641508,0.432788248,0.550055708,0.659558215,0.734330831,0.789976845,0.804599573,0.913639392,1.301002902,0.620163579,0.471340144,0.443929288,0.579446242
Population growth (annual %),SP.POP.GROW,Canada,CAN,0.931281553,1.086350966,1.087447927,0.901372739,0.933020777,0.944466927,1.010334503,0.971135141,1.082907116,1.141758099,1.111864075,0.978697787,1.085817263,1.056591259,1.005337579,0.746339478
Population growth (annual %),SP.POP.GROW,China,CHN,0.787956593,0.726380638,0.669999568,0.622860936,0.593932815,0.58812499,0.558374367,0.522271866,0.512386932,0.497381401,0.482959689,0.546457595,0.678345459,0.666072978,0.63032639,0.581456147
Population growth (annual %),SP.POP.GROW,France,FRA,0.686782587,0.72943079,0.728746207,0.71044809,0.735098068,0.749918325,0.693706612,0.616493932,0.557563758,0.513102876,0.492821126,0.482694782,0.48395349,0.516539661,0.468246342,0.35556924
Population growth (annual %),SP.POP.GROW,Germany,DEU,0.1354316,0.168225361,0.168128319,0.055363304,-0.021709728,-0.056778262,-0.112797498,-0.133718573,-0.190142845,-0.25338341,-0.153198447,-1.853714629,0.187727801,0.272900215,0.416877359,0.865702644
Population growth (annual %),SP.POP.GROW,India,IND,1.822184002,1.808446421,1.776767874,1.724269032,1.67281087,1.604129169,1.52430796,1.46637175,1.422391509,1.39119493,1.377595812,1.361588085,1.33219205,1.297548835,1.240362184,1.18779532
Population growth (annual %),SP.POP.GROW,Japan,JPN,0.167275578,0.240952588,0.232527187,0.213980949,0.033662258,0.009392097,0.063373589,0.114908848,0.048425395,-0.012494631,0.017960542,-0.185226486,-0.159710676,-0.144271883,-0.132694222,-0.106124994
Population growth (annual %),SP.POP.GROW,Kuwait,KWT,3.015393997,2.891932877,2.757762092,2.610111849,2.443137206,3.733592238,5.568354328,5.888960464,5.59158489,5.311834538,5.152155972,6.58897845,7.676428102,7.156824721,3.106740562,3.837569365
Population growth (annual %),SP.POP.GROW,Mexico,MEX,1.584550787,1.54194113,1.520455223,1.487400531,1.469652975,1.429511671,1.360538574,1.316236819,1.267535742,1.236743692,1.326578957,1.427639765,1.396615462,1.317160793,1.241466716,1.16700885
Population growth (annual %),SP.POP.GROW,New Zealand,NZL,0.587564086,0.589286035,1.737174864,1.973558544,1.486219082,1.12877351,1.21898486,0.932407688,0.848701402,0.999728031,1.111726056,0.762479795,0.548220797,0.768347998,1.661012001,2.036033909
Population growth (annual %),SP.POP.GROW,Singapore,SGP,1.732042233,2.697355843,0.912639806,-1.474532842,1.251916673,2.350511289,3.129389156,4.166002864,5.321517083,3.015949915,1.771832879,2.084902456,2.45339033,1.619308099,1.298440178,1.186376937
Population growth (annual %),SP.POP.GROW,Spain,ESP,0.447137015,0.694068084,1.412595405,1.808454468,1.725466303,1.689349047,1.690352556,1.851081308,1.595330499,0.885735981,0.460408305,0.355338396,0.064925963,-0.32766904,-0.298951059,-0.077588862
Population growth (annual %),SP.POP.GROW,Russian Federation,RUS,-0.42061499,-0.424090525,-0.460024258,-0.453780668,-0.402681471,-0.381452795,-0.32744527,-0.171082033,-0.043949259,0.030107761,0.044895788,0.077981777,0.168305035,0.212950705,0.217642262,0.192557947
Population growth (annual %),SP.POP.GROW,Qatar,QAT,5.184450213,4.967022534,4.937005481,4.836234748,3.854865328,8.706429292,17.89854534,19.36042866,15.90568396,10.87955005,6.213604588,5.156080977,5.472719876,6.591357497,8.426885909,8.651162054
Population growth (annual %),SP.POP.GROW,United Kingdom,GBR,0.357300887,0.38497597,0.42333708,0.465641114,0.568943113,0.686611306,0.735048678,0.778666112,0.787032622,0.75639086,0.783888647,0.781506562,0.695353132,0.669740536,0.736463979,0.792367506
Population growth (annual %),SP.POP.GROW,United Arab Emirates,ARE,5.580387001,5.317075961,5.064872584,4.829342685,4.609526744,6.955726898,13.48367209,18.12798398,17.399086,13.4229206,5.939765366,1.095562713,1.041344608,0.997641826,0.956397624,0.911950036
Population growth (annual %),SP.POP.GROW,United States,USA,1.112768997,0.989741382,0.927797486,0.859481713,0.925483969,0.921713167,0.964253917,0.951055243,0.945865287,0.876651299,0.829616675,0.726786705,0.733599941,0.692860277,0.73336152,0.736217309
Population growth (annual %),SP.POP.GROW,Vietnam,VNM,1.116867374,1.028394101,1.027717588,1.028292553,1.020116345,1.004361804,0.969169266,0.960767812,0.980254858,1.029392116,1.067429767,1.067493423,1.072013222,1.076379532,1.066398765,1.042270946
Surface area (sq. km),AG.SRF.TOTL.K2,Australia,AUS,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220
Surface area (sq. km),AG.SRF.TOTL.K2,Bangladesh,BGD,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,147630,147630
Surface area (sq. km),AG.SRF.TOTL.K2,Belgium,BEL,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530
Surface area (sq. km),AG.SRF.TOTL.K2,Canada,CAN,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750
Surface area (sq. km),AG.SRF.TOTL.K2,China,CHN,9600000,9600000.2,9600000.2,9599999.7,9600000.5,9599999.8,9600000,9600000,9600000,9600000.5,9600000.7,9600000.9,9600000.9,9600001.3,9600006.3,9600007.4
Surface area (sq. km),AG.SRF.TOTL.K2,France,FRA,549087,549087,549087,549387,549087,549087,549087,549087,549087,549087,549087,549087,549087,549087,549087,549087
Surface area (sq. km),AG.SRF.TOTL.K2,Germany,DEU,357030,357030,357040,357040,357050,357090,357100,357100,357110,357120,357130,357140,357170,357340,357380,357410
Surface area (sq. km),AG.SRF.TOTL.K2,India,IND,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260
Surface area (sq. km),AG.SRF.TOTL.K2,Japan,JPN,377800,377880,377890,377900,377910,377910,377920,377930,377940,377947,377950,377955,377960,377962,377962,377971
Surface area (sq. km),AG.SRF.TOTL.K2,Kuwait,KWT,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820
Surface area (sq. km),AG.SRF.TOTL.K2,Mexico,MEX,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964375,1964375
Surface area (sq. km),AG.SRF.TOTL.K2,New Zealand,NZL,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710
Surface area (sq. km),AG.SRF.TOTL.K2,Singapore,SGP,680,680,685,697,699,699,704,705,710,710,712,714,716,717,719,719
Surface area (sq. km),AG.SRF.TOTL.K2,Spain,ESP,505000,505020,505320,505370,505370,505370,505370,505370,505370,505370,505600,505600,505940,505940,505940,505924
Surface area (sq. km),AG.SRF.TOTL.K2,Russian Federation,RUS,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098250,17098250,17098250,17098250,17098250,17098250
Surface area (sq. km),AG.SRF.TOTL.K2,Qatar,QAT,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11490,11490
Surface area (sq. km),AG.SRF.TOTL.K2,United Kingdom,GBR,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610
Surface area (sq. km),AG.SRF.TOTL.K2,United Arab Emirates,ARE,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9
Surface area (sq. km),AG.SRF.TOTL.K2,United States,USA,9632030,9632030,9632030,9632030,9632030,9632030,9632030,9632030,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510
Surface area (sq. km),AG.SRF.TOTL.K2,Vietnam,VNM,329240,329250,329300,329310,329314,331212,331212,331212,331051,331051,330954,330957,330951,330960,331230,331230
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Bangladesh,BGD,48.9,..,..,..,..,40,..,..,..,..,31.5,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,China,CHN,49.8,..,..,..,..,30.2,..,..,..,..,17.2,12.7,10.2,8.5,7.2,5.7
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,India,IND,..,..,..,..,37.2,..,..,..,..,29.8,..,21.9,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Mexico,MEX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Singapore,SGP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Spain,ESP,..,..,..,20.1,20.1,20.3,19.7,19.8,20.4,20.7,20.6,20.8,20.4,22.2,22.1,22.3
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Russian Federation,RUS,29,..,24.6,20.3,17.6,17.8,15.2,13.3,13.4,13,12.5,12.7,10.7,10.8,11.2,13.3
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Vietnam,VNM,..,..,28.9,..,19.5,..,16,..,14.5,..,20.7,..,17.2,..,13.5,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Australia,AUS,4.05004E+11,3.91554E+11,3.93781E+11,4.21477E+11,5.14921E+11,6.19935E+11,7.07154E+11,7.78264E+11,9.0053E+11,9.5608E+11,1.0297E+12,1.12584E+12,1.37006E+12,1.52769E+12,1.53025E+12,1.44051E+12
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Bangladesh,BGD,55712709025,57006615191,57885640080,62202314642,69524380791,76597955076,80892598777,86321635005,95700151954,1.0613E+11,1.18314E+11,1.33342E+11,1.46862E+11,1.58833E+11,1.7125E+11,1.91314E+11
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Belgium,BEL,2.65413E+11,2.51586E+11,2.48631E+11,2.81156E+11,3.42924E+11,3.95909E+11,4.21244E+11,4.54104E+11,4.98712E+11,5.07226E+11,5.13017E+11,5.13216E+11,5.23506E+11,5.34535E+11,5.36066E+11,5.13774E+11
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Canada,CAN,6.98136E+11,7.16812E+11,7.39548E+11,8.06289E+11,9.43152E+11,1.10627E+12,1.23453E+12,1.36651E+12,1.49403E+12,1.45374E+12,1.51272E+12,1.62045E+12,1.77322E+12,1.8525E+12,1.84973E+12,1.69893E+12
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,China,CHN,1.18151E+12,1.28749E+12,1.42314E+12,1.64832E+12,1.95962E+12,2.29511E+12,2.70656E+12,3.31033E+12,4.10418E+12,4.90128E+12,5.80186E+12,6.78387E+12,8.00606E+12,9.19381E+12,1.02466E+13,1.08832E+13
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,France,FRA,1.52227E+12,1.46483E+12,1.43074E+12,1.61847E+12,1.97249E+12,2.26968E+12,2.41044E+12,2.57082E+12,2.80306E+12,2.85151E+12,2.85958E+12,2.90406E+12,2.85061E+12,2.8909E+12,2.87405E+12,2.73726E+12
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Germany,DEU,2.15193E+12,2.03959E+12,1.95307E+12,2.15776E+12,2.61302E+12,2.94967E+12,3.15215E+12,3.32951E+12,3.58435E+12,3.57576E+12,3.65393E+12,3.79877E+12,3.74475E+12,3.80784E+12,3.85831E+12,3.74002E+12
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,India,IND,4.67082E+11,4.85443E+11,5.00198E+11,5.73893E+11,6.87282E+11,8.09085E+11,9.16984E+11,1.08197E+12,1.19503E+12,1.35835E+12,1.50574E+12,1.70443E+12,1.87099E+12,1.94112E+12,2.021E+12,2.0976E+12
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Japan,JPN,4.66926E+12,4.75328E+12,4.50678E+12,4.55434E+12,4.98205E+12,5.27387E+12,5.18986E+12,5.03204E+12,5.04354E+12,5.02345E+12,5.62343E+12,6.06794E+12,6.38922E+12,6.22597E+12,5.65606E+12,5.00647E+12
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Kuwait,KWT,36764694091,39255754889,40453904211,48845247618,62737171642,79947641290,1.00395E+11,1.19138E+11,1.37351E+11,1.26938E+11,1.27116E+11,1.38719E+11,1.66416E+11,1.871E+11,1.88256E+11,1.60401E+11
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Mexico,MEX,6.14244E+11,6.76203E+11,7.2183E+11,7.59046E+11,8.17519E+11,8.5374E+11,9.34906E+11,1.00997E+12,1.08371E+12,9.92381E+11,1.0315E+12,1.07697E+12,1.17835E+12,1.22018E+12,1.26384E+12,1.23846E+12
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,New Zealand,NZL,54316536742,53592979333,55964568448,68314800054,87892892692,1.0517E+11,1.1047E+11,1.18905E+11,1.21951E+11,1.2773E+11,1.2912E+11,1.41294E+11,1.61773E+11,1.77365E+11,1.88262E+11,1.87417E+11
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Singapore,SGP,95389561740,91561437034,91859018799,96456130574,1.09051E+11,1.22983E+11,1.43249E+11,1.65244E+11,1.80169E+11,1.8612E+11,2.28089E+11,2.50101E+11,2.74704E+11,2.94062E+11,3.08373E+11,2.94215E+11
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Spain,ESP,6.40418E+11,6.34683E+11,6.47442E+11,7.62627E+11,9.50024E+11,1.13111E+12,1.23659E+12,1.34626E+12,1.48199E+12,1.50957E+12,1.48908E+12,1.44974E+12,1.38179E+12,1.36293E+12,1.35526E+12,1.3219E+12
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Russian Federation,RUS,2.50287E+11,2.59633E+11,3.05721E+11,3.73994E+11,4.90862E+11,6.38632E+11,8.30471E+11,1.07992E+12,1.36797E+12,1.31848E+12,1.42518E+12,1.58132E+12,1.93171E+12,2.17943E+12,2.13799E+12,1.72523E+12
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Qatar,QAT,..,..,18198823117,20918483072,27237816485,33109790414,51961403404,70705101874,94215526754,1.01373E+11,1.18091E+11,1.36293E+11,1.60048E+11,1.85505E+11,1.98915E+11,1.88423E+11
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,United Kingdom,GBR,1.73075E+12,1.71507E+12,1.73033E+12,1.92345E+12,2.26798E+12,2.57935E+12,2.72584E+12,2.90428E+12,2.9934E+12,2.75097E+12,2.63011E+12,2.60496E+12,2.6635E+12,2.745E+12,2.88056E+12,2.89649E+12
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,United Arab Emirates,ARE,98424973048,1.05599E+11,1.07623E+11,1.21688E+11,1.47126E+11,1.72049E+11,2.08707E+11,2.44207E+11,2.8295E+11,2.77083E+11,2.85541E+11,3.13381E+11,3.62265E+11,4.01301E+11,4.19043E+11,4.12573E+11
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,United States,USA,1.01466E+13,1.04593E+13,1.07302E+13,1.15331E+13,1.27402E+13,1.36466E+13,1.42726E+13,1.46109E+13,1.49306E+13,1.46847E+13,1.5202E+13,1.57738E+13,1.65712E+13,1.70644E+13,1.77651E+13,1.81589E+13
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Vietnam,VNM,30203568808,32186355228,34037168505,38120159465,44415418930,52884327654,61119346853,71581154221,84934003165,96710386688,1.19484E+11,1.44217E+11,1.76785E+11,1.98883E+11,2.18738E+11,2.28398E+11
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Australia,AUS,21280,20310,20200,21370,25830,30730,34580,37370,42380,44080,46740,50400,60270,66050,65180,60490
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bangladesh,BGD,430,430,430,460,500,540,570,600,660,720,800,890,970,1030,1100,1210
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Belgium,BEL,25890,24460,24060,27100,32910,37780,39940,42740,46570,46980,47080,46490,47130,47900,47820,45570
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Canada,CAN,22750,23110,23580,25480,29530,34310,37900,41550,44940,43230,44490,47190,51080,52800,52200,47590
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,China,CHN,940,1010,1110,1280,1510,1760,2060,2510,3100,3680,4340,5040,5910,6740,7470,7890
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,France,FRA,24990,23870,23150,26000,31450,35920,37880,40160,43540,44070,43970,44440,43410,43800,43340,41130
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Germany,DEU,26180,24770,23680,26140,31670,35770,38270,40470,43650,43660,44680,47320,46560,47220,47640,45780
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,India,IND,440,450,460,510,600,700,780,910,990,1110,1210,1360,1470,1500,1550,1590
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Japan,JPN,36810,37380,35360,35660,39000,41280,40590,39310,39380,39230,43910,47470,50060,48850,44440,39380
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Kuwait,KWT,19000,19710,19760,23240,29130,35760,42480,47530,51810,45410,43190,44120,49020,51310,50050,41040
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Mexico,MEX,6280,6800,7150,7410,7860,8100,8750,9330,9880,8940,9170,9430,10180,10400,10640,10310
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,New Zealand,NZL,14080,13810,14170,16960,21500,25440,26400,28150,28630,29690,29680,32230,36700,39930,41680,40660
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Singapore,SGP,23680,22130,22000,23440,26170,28830,32550,36010,37230,37320,44930,48250,51710,54460,56380,53160
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Spain,ESP,15790,15540,15630,18080,22130,25910,27850,29770,32250,32560,31970,31020,29540,29230,29160,28460
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Russian Federation,RUS,1710,1780,2100,2590,3410,4450,5810,7560,9580,9230,9980,11060,13490,15190,14630,11780
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Qatar,QAT,..,..,25520,27950,35010,39010,51190,57400,65230,62950,68920,75540,83990,91130,89830,78040
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,United Kingdom,GBR,29390,29010,29140,32250,37810,42700,44800,47360,48430,44170,41900,41180,41810,42800,44590,44480
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,United Arab Emirates,ARE,30050,30570,29620,31910,36840,40190,42600,41580,40490,34670,33670,36540,41810,45850,47420,46270
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,United States,USA,35960,36700,37310,39750,43510,46180,47830,48500,49100,47870,49150,50620,52790,53990,55800,56620
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Vietnam,VNM,380,400,420,470,540,640,730,840,990,1120,1370,1630,1980,2200,2400,2480
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Australia,AUS,4.90113E+11,5.17576E+11,5.50345E+11,5.77018E+11,6.14787E+11,6.4152E+11,6.84493E+11,7.28919E+11,7.64682E+11,8.43681E+11,8.33632E+11,9.01054E+11,9.44457E+11,1.03536E+12,1.07186E+12,1.07915E+12
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Bangladesh,BGD,2.08903E+11,2.24071E+11,2.38126E+11,2.54417E+11,2.7559E+11,3.03067E+11,3.36506E+11,3.72281E+11,4.06321E+11,4.30336E+11,4.60393E+11,4.99624E+11,5.68935E+11,6.13884E+11,6.58106E+11,7.01591E+11
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Belgium,BEL,2.92207E+11,3.01717E+11,3.18308E+11,3.27106E+11,3.38775E+11,3.52002E+11,3.77206E+11,3.96414E+11,4.15598E+11,4.15164E+11,4.40737E+11,4.52656E+11,4.8062E+11,4.9935E+11,5.14187E+11,5.2825E+11
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Canada,CAN,8.77363E+11,9.11388E+11,9.4644E+11,9.98506E+11,1.06026E+12,1.14739E+12,1.22186E+12,1.28243E+12,1.32267E+12,1.2845E+12,1.33663E+12,1.40378E+12,1.44204E+12,1.53045E+12,1.5952E+12,1.57042E+12
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,China,CHN,3.63885E+12,4.02198E+12,4.47652E+12,5.04343E+12,5.72284E+12,6.54568E+12,7.64569E+12,9.00691E+12,1.01053E+13,1.10386E+13,1.23271E+13,1.37153E+13,1.50894E+13,1.60534E+13,1.7143E+13,1.77118E+13
